Irradiance,Temperature,V_PV,I_PV
1000,46,NaN,NaN
100,48,25.4738839491781,0.509477678983561
200,48,34.6442936723617,0.692885873447233
300,48,35.3319610374973,0.706639220749946
400,48,37.3320424884162,0.746640849768324
500,48,NaN,NaN
600,48,NaN,NaN
700,48,NaN,NaN
800,48,NaN,NaN
900,48,NaN,NaN
1000,48,NaN,NaN
100,50,25.4621348700287,0.509242697400574
200,50,34.3347350862887,0.686694701725774
300,50,NaN,NaN
400,50,NaN,NaN
500,50,NaN,NaN
600,50,NaN,NaN
700,50,NaN,NaN
800,50,NaN,NaN
900,50,NaN,NaN
1000,50,NaN,NaN
